epoch,beta,lr,train_loss,val_loss,val_gpr,sec,peak_gib
114,5.0000,1.18e-06,0.919653,1.848994,95.7458,1906.4,49.69
115,5.0000,1.18e-06,0.922764,1.829420,95.7558,1917.8,49.69
116,5.0000,1.18e-06,0.921714,1.841946,95.6859,1901.2,49.69
117,5.0000,1.18e-06,0.919130,1.852751,95.7890,1898.5,49.69
118,5.0000,1.18e-06,0.918768,1.861691,95.7787,1897.6,49.69
119,5.0000,1.00e-06,0.924602,1.811643,95.7206,1904.0,49.69
120,5.0000,1.00e-06,0.917590,1.856883,95.7744,1899.6,49.69
121,5.0000,1.00e-06,0.922422,1.830709,95.6962,1902.6,49.69
122,5.0000,1.00e-06,0.921737,1.836621,95.8183,1916.1,49.69
123,5.0000,1.00e-06,0.919672,1.845041,95.8194,1901.5,49.69
124,5.0000,1.00e-06,0.922932,1.821550,95.7423,1898.7,49.69
125,5.0000,1.00e-06,0.920875,1.841788,95.8236,1896.6,49.69
126,5.0000,1.00e-06,0.918764,1.854278,95.8030,1903.3,49.69
127,5.0000,1.00e-06,0.921688,1.832232,95.7696,1913.7,49.69
128,5.0000,1.00e-06,0.920594,1.837991,95.8300,1904.3,49.69
129,5.0000,1.00e-06,0.919699,1.839386,95.8384,1920.5,49.69
130,5.0000,1.00e-06,0.917176,1.863106,95.8469,1896.9,49.69
131,5.0000,1.00e-06,0.921571,1.827456,95.8027,1904.6,49.69
132,5.0000,1.00e-06,0.920569,1.837013,95.8054,1899.3,49.69
133,5.0000,1.00e-06,0.919990,1.834401,95.8202,1897.1,49.69
134,5.0000,1.00e-06,0.918533,1.845962,95.8663,1904.0,49.69
135,5.0000,1.00e-06,0.919789,1.838883,95.8174,1900.2,49.69
136,5.0000,1.00e-06,0.920795,1.834702,95.8006,1903.2,49.69
137,5.0000,1.00e-06,0.915327,1.877382,95.7459,1916.5,49.69
138,5.0000,1.00e-06,0.918848,1.848868,95.6493,1904.0,49.69
139,5.0000,1.00e-06,0.917519,1.860078,95.7785,1901.1,49.69
140,5.0000,1.00e-06,0.919206,1.848472,95.7618,1897.0,49.69
141,5.0000,1.00e-06,0.922142,1.817306,95.8567,1904.3,49.69
142,5.0000,1.00e-06,0.918404,1.850283,95.8114,1900.4,49.69
143,5.0000,1.00e-06,0.921003,1.832500,95.7506,1903.1,49.69
144,5.0000,1.00e-06,0.917055,1.859244,95.7951,1917.2,49.69
145,5.0000,1.00e-06,0.920099,1.840768,95.7798,1902.5,49.69
146,5.0000,1.00e-06,0.917835,1.852362,95.8187,1899.7,49.69
147,5.0000,1.00e-06,0.918736,1.854346,95.8382,1897.1,49.69
148,5.0000,1.00e-06,0.915689,1.868003,95.8189,1910.5,49.69
